Airport_Code,Year,TotalClaims,Claim_Type,Total_Enplanement,PctClaims
BUR,2013,6,Passenger Property Loss,1918011,0.0003%
BUR,2013,2,Personal Injury,1918011,0.0001%
BUR,2013,1,Complaint,1918011,0.0001%
BUR,2014,11,Property Damage,1928491,0.0006%
BUR,2014,8,Passenger Property Loss,1928491,0.0004%
BUR,2015,8,Passenger Property Loss,1973897,0.0004%
BUR,2015,7,Property Damage,1973897,0.0004%
BUR,2016,14,Passenger Property Loss,2077892,0.0007%
BUR,2016,10,Property Damage,2077892,0.0005%
BUR,2016,1,Complaint,2077892,0.0000%
BUR,2017,13,Property Damage,2402106,0.0005%
BUR,2017,9,Passenger Property Loss,2402106,0.0004%
BWI,2013,96,Passenger Property Loss,11132731,0.0009%
BWI,2013,50,Property Damage,11132731,0.0004%
BWI,2013,1,Unknown,11132731,0.0000%
BWI,2014,74,Passenger Property Loss,11022200,0.0007%
BWI,2014,52,Property Damage,11022200,0.0005%
BWI,2014,1,Employee Loss (MPCECA),11022200,0.0000%
BWI,2014,1,Unknown,11022200,0.0000%
BWI,2014,1,Personal Injury,11022200,0.0000%
BWI,2015,60,Passenger Property Loss,11738845,0.0005%
BWI,2015,43,Property Damage,11738845,0.0004%
BWI,2015,2,Unknown,11738845,0.0000%
BWI,2016,82,Passenger Property Loss,12340972,0.0007%
BWI,2016,39,Property Damage,12340972,0.0003%
BWI,2016,1,Complaint,12340972,0.0000%
BWI,2017,68,Passenger Property Loss,12976554,0.0005%
BWI,2017,58,Property Damage,12976554,0.0004%
BWI,2017,1,Personal Injury,12976554,0.0000%
BWI,2017,1,Missed Flight,12976554,0.0000%
BZN,2013,4,Passenger Property Loss,442075,0.0009%
BZN,2013,3,Property Damage,442075,0.0007%
BZN,2014,2,Passenger Property Loss,482683,0.0004%
BZN,2014,2,Property Damage,482683,0.0004%
BZN,2015,1,Passenger Property Loss,512042,0.0002%
BZN,2016,3,Passenger Property Loss,553245,0.0005%
BZN,2017,2,Property Damage,598712,0.0003%
BZN,2017,1,Passenger Property Loss,598712,0.0002%
CAE,2013,5,Passenger Property Loss,487180,0.0010%
CAE,2013,1,Property Damage,487180,0.0002%
CAE,2014,3,Property Damage,498151,0.0006%
CAE,2014,1,Passenger Property Loss,498151,0.0002%
CAE,2015,3,Property Damage,533575,0.0006%
CAE,2015,1,Passenger Property Loss,533575,0.0002%
CAE,2016,3,Passenger Property Loss,553658,0.0005%
CAE,2016,2,Property Damage,553658,0.0004%
CAE,2016,1,Property Loss,553658,0.0002%
CAE,2017,2,Property Damage,510188,0.0004%
CAE,2017,1,Passenger Property Loss,510188,0.0002%
CAK,2013,6,Passenger Property Loss,851809,0.0007%
CAK,2013,2,Property Damage,851809,0.0002%
CAK,2014,5,Passenger Property Loss,771155,0.0006%
CAK,2014,1,Property Damage,771155,0.0001%
CAK,2015,4,Property Damage,759335,0.0005%
CAK,2015,4,Passenger Property Loss,759335,0.0005%
CAK,2016,4,Property Damage,685553,0.0006%
CAK,2016,3,Passenger Property Loss,685553,0.0004%
CAK,2017,4,Passenger Property Loss,619321,0.0006%
CAK,2017,3,Property Damage,619321,0.0005%
CDC,2013,1,Property Damage,13214,0.0076%
CDC,2014,1,Passenger Property Loss,14362,0.0070%
CDC,2014,1,Property Damage,14362,0.0070%
CDV,2016,1,Passenger Property Loss,18649,0.0054%
CEC,2013,1,Passenger Property Loss,12136,0.0082%
CEZ,2013,1,Property Damage,8218,0.0122%
CHA,2013,3,Property Damage,312873,0.0010%
CHA,2013,2,Passenger Property Loss,312873,0.0006%
CHA,2014,1,Property Damage,356077,0.0003%
CHA,2014,1,Passenger Property Loss,356077,0.0003%
CHA,2015,3,Property Damage,393680,0.0008%
CHA,2015,1,Passenger Property Loss,393680,0.0003%
CHA,2016,3,Property Damage,422442,0.0007%
CHA,2016,1,Passenger Property Loss,422442,0.0002%
CHA,2017,1,Property Damage,482113,0.0002%
CHO,2013,8,Passenger Property Loss,230699,0.0035%
CHO,2013,1,Complaint,230699,0.0004%
CHO,2013,1,Property Damage,230699,0.0004%
CHO,2016,2,Property Damage,295930,0.0007%
CHO,2017,2,Property Damage,334347,0.0006%
CHS,2013,14,Passenger Property Loss,1441415,0.0010%
CHS,2013,7,Property Damage,1441415,0.0005%
CHS,2014,11,Passenger Property Loss,1539326,0.0007%
CHS,2014,6,Property Damage,1539326,0.0004%
CHS,2015,19,Passenger Property Loss,1669988,0.0011%
CHS,2015,10,Property Damage,1669988,0.0006%
CHS,2016,15,Property Damage,1811695,0.0008%
CHS,2016,8,Passenger Property Loss,1811695,0.0004%
CHS,2017,14,Property Damage,1945699,0.0007%
CHS,2017,8,Passenger Property Loss,1945699,0.0004%
CHS,2017,1,Passenger Theft,1945699,0.0001%
CIC,2013,1,Passenger Property Loss,16835,0.0059%
CID,2013,5,Property Damage,520360,0.0010%
CID,2013,3,Passenger Property Loss,520360,0.0006%
CID,2013,1,Personal Injury,520360,0.0002%
CID,2014,5,Property Damage,570571,0.0009%
CID,2014,1,Passenger Property Loss,570571,0.0002%
CID,2015,2,Passenger Property Loss,557383,0.0004%
CID,2015,1,Property Damage,557383,0.0002%
CID,2016,3,Passenger Property Loss,547786,0.0005%
CID,2016,2,Property Damage,547786,0.0004%
CID,2017,1,Passenger Property Loss,574636,0.0002%
CIU,2016,1,Property Damage,20974,0.0048%
CIU,2016,1,Passenger Property Loss,20974,0.0048%
CIU,2017,1,Property Damage,22261,0.0045%
CKB,2013,1,Passenger Property Loss,10831,0.0092%
CKB,2015,1,Unknown,24087,0.0042%
