Date_ID,Full_Date,Year,Month,Day,Quarter,Weekday_Name
322,2013-11-18,2013,11,18,4,Monday
323,2013-11-19,2013,11,19,4,Tuesday
324,2013-11-20,2013,11,20,4,Wednesday
325,2013-11-21,2013,11,21,4,Thursday
326,2013-11-22,2013,11,22,4,Friday
327,2013-11-23,2013,11,23,4,Saturday
328,2013-11-24,2013,11,24,4,Sunday
329,2013-11-25,2013,11,25,4,Monday
330,2013-11-26,2013,11,26,4,Tuesday
331,2013-11-27,2013,11,27,4,Wednesday
332,2013-11-28,2013,11,28,4,Thursday
333,2013-11-29,2013,11,29,4,Friday
334,2013-11-30,2013,11,30,4,Saturday
335,2013-12-01,2013,12,1,4,Sunday
336,2013-12-02,2013,12,2,4,Monday
337,2013-12-03,2013,12,3,4,Tuesday
338,2013-12-04,2013,12,4,4,Wednesday
339,2013-12-05,2013,12,5,4,Thursday
340,2013-12-06,2013,12,6,4,Friday
341,2013-12-07,2013,12,7,4,Saturday
342,2013-12-08,2013,12,8,4,Sunday
343,2013-12-09,2013,12,9,4,Monday
344,2013-12-10,2013,12,10,4,Tuesday
345,2013-12-11,2013,12,11,4,Wednesday
346,2013-12-12,2013,12,12,4,Thursday
347,2013-12-13,2013,12,13,4,Friday
348,2013-12-14,2013,12,14,4,Saturday
349,2013-12-15,2013,12,15,4,Sunday
350,2013-12-16,2013,12,16,4,Monday
351,2013-12-17,2013,12,17,4,Tuesday
352,2013-12-18,2013,12,18,4,Wednesday
353,2013-12-19,2013,12,19,4,Thursday
354,2013-12-20,2013,12,20,4,Friday
355,2013-12-21,2013,12,21,4,Saturday
356,2013-12-22,2013,12,22,4,Sunday
357,2013-12-23,2013,12,23,4,Monday
358,2013-12-24,2013,12,24,4,Tuesday
359,2013-12-25,2013,12,25,4,Wednesday
360,2013-12-26,2013,12,26,4,Thursday
361,2013-12-27,2013,12,27,4,Friday
362,2013-12-28,2013,12,28,4,Saturday
363,2013-12-29,2013,12,29,4,Sunday
364,2013-12-30,2013,12,30,4,Monday
365,2013-12-31,2013,12,31,4,Tuesday
366,2014-01-01,2014,1,1,1,Wednesday
367,2014-01-02,2014,1,2,1,Thursday
368,2014-01-03,2014,1,3,1,Friday
369,2014-01-04,2014,1,4,1,Saturday
370,2014-01-05,2014,1,5,1,Sunday
371,2014-01-06,2014,1,6,1,Monday
372,2014-01-07,2014,1,7,1,Tuesday
373,2014-01-08,2014,1,8,1,Wednesday
374,2014-01-09,2014,1,9,1,Thursday
375,2014-01-10,2014,1,10,1,Friday
376,2014-01-11,2014,1,11,1,Saturday
377,2014-01-12,2014,1,12,1,Sunday
378,2014-01-13,2014,1,13,1,Monday
379,2014-01-14,2014,1,14,1,Tuesday
380,2014-01-15,2014,1,15,1,Wednesday
381,2014-01-16,2014,1,16,1,Thursday
382,2014-01-17,2014,1,17,1,Friday
383,2014-01-18,2014,1,18,1,Saturday
384,2014-01-19,2014,1,19,1,Sunday
385,2014-01-20,2014,1,20,1,Monday
386,2014-01-21,2014,1,21,1,Tuesday
387,2014-01-22,2014,1,22,1,Wednesday
388,2014-01-23,2014,1,23,1,Thursday
389,2014-01-24,2014,1,24,1,Friday
390,2014-01-25,2014,1,25,1,Saturday
391,2014-01-26,2014,1,26,1,Sunday
392,2014-01-27,2014,1,27,1,Monday
393,2014-01-28,2014,1,28,1,Tuesday
394,2014-01-29,2014,1,29,1,Wednesday
395,2014-01-30,2014,1,30,1,Thursday
396,2014-01-31,2014,1,31,1,Friday
397,2014-02-01,2014,2,1,1,Saturday
398,2014-02-02,2014,2,2,1,Sunday
399,2014-02-03,2014,2,3,1,Monday
400,2014-02-04,2014,2,4,1,Tuesday
401,2014-02-05,2014,2,5,1,Wednesday
402,2014-02-06,2014,2,6,1,Thursday
403,2014-02-07,2014,2,7,1,Friday
404,2014-02-08,2014,2,8,1,Saturday
405,2014-02-09,2014,2,9,1,Sunday
406,2014-02-10,2014,2,10,1,Monday
407,2014-02-11,2014,2,11,1,Tuesday
408,2014-02-12,2014,2,12,1,Wednesday
409,2014-02-13,2014,2,13,1,Thursday
410,2014-02-14,2014,2,14,1,Friday
411,2014-02-15,2014,2,15,1,Saturday
412,2014-02-16,2014,2,16,1,Sunday
413,2014-02-17,2014,2,17,1,Monday
414,2014-02-18,2014,2,18,1,Tuesday
415,2014-02-19,2014,2,19,1,Wednesday
416,2014-02-20,2014,2,20,1,Thursday
417,2014-02-21,2014,2,21,1,Friday
418,2014-02-22,2014,2,22,1,Saturday
419,2014-02-23,2014,2,23,1,Sunday
420,2014-02-24,2014,2,24,1,Monday
421,2014-02-25,2014,2,25,1,Tuesday
422,2014-02-26,2014,2,26,1,Wednesday
423,2014-02-27,2014,2,27,1,Thursday
424,2014-02-28,2014,2,28,1,Friday
425,2014-03-01,2014,3,1,1,Saturday
426,2014-03-02,2014,3,2,1,Sunday
427,2014-03-03,2014,3,3,1,Monday
428,2014-03-04,2014,3,4,1,Tuesday
429,2014-03-05,2014,3,5,1,Wednesday
430,2014-03-06,2014,3,6,1,Thursday
431,2014-03-07,2014,3,7,1,Friday
432,2014-03-08,2014,3,8,1,Saturday
433,2014-03-09,2014,3,9,1,Sunday
434,2014-03-10,2014,3,10,1,Monday
435,2014-03-11,2014,3,11,1,Tuesday
436,2014-03-12,2014,3,12,1,Wednesday
437,2014-03-13,2014,3,13,1,Thursday
438,2014-03-14,2014,3,14,1,Friday
439,2014-03-15,2014,3,15,1,Saturday
440,2014-03-16,2014,3,16,1,Sunday
441,2014-03-17,2014,3,17,1,Monday
442,2014-03-18,2014,3,18,1,Tuesday
443,2014-03-19,2014,3,19,1,Wednesday
444,2014-03-20,2014,3,20,1,Thursday
445,2014-03-21,2014,3,21,1,Friday
446,2014-03-22,2014,3,22,1,Saturday
447,2014-03-23,2014,3,23,1,Sunday
448,2014-03-24,2014,3,24,1,Monday
449,2014-03-25,2014,3,25,1,Tuesday
450,2014-03-26,2014,3,26,1,Wednesday
451,2014-03-27,2014,3,27,1,Thursday
452,2014-03-28,2014,3,28,1,Friday
453,2014-03-29,2014,3,29,1,Saturday
454,2014-03-30,2014,3,30,1,Sunday
455,2014-03-31,2014,3,31,1,Monday
456,2014-04-01,2014,4,1,2,Tuesday
457,2014-04-02,2014,4,2,2,Wednesday
458,2014-04-03,2014,4,3,2,Thursday
459,2014-04-04,2014,4,4,2,Friday
460,2014-04-05,2014,4,5,2,Saturday
461,2014-04-06,2014,4,6,2,Sunday
462,2014-04-07,2014,4,7,2,Monday
463,2014-04-08,2014,4,8,2,Tuesday
464,2014-04-09,2014,4,9,2,Wednesday
465,2014-04-10,2014,4,10,2,Thursday
466,2014-04-11,2014,4,11,2,Friday
467,2014-04-12,2014,4,12,2,Saturday
468,2014-04-13,2014,4,13,2,Sunday
469,2014-04-14,2014,4,14,2,Monday
470,2014-04-15,2014,4,15,2,Tuesday
471,2014-04-16,2014,4,16,2,Wednesday
472,2014-04-17,2014,4,17,2,Thursday
