Airport_Code,Airport_Name,City,State,Year,totalclaims
BRD,"Brainerd, MN",Brainerd,MN,2017,1
BRL,Southeast Iowa Regional,Burlington,IA,2013,1
BRO,Brownsville/South Padre International,Brownsville,TX,2013,1
BRO,Brownsville/South Padre International,Brownsville,TX,2014,1
BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,2017,1
BTM,Bert Mooney,Butte,MT,2016,1
BTM,Bert Mooney,Butte,MT,2017,1
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,2013,4
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,2014,6
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,2015,3
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,2016,4
BTR,Baton Rouge Metropolitan,Baton Rouge,LA,2017,4
BTV,"Burlington, VT",Burlington,VT,2013,11
BTV,"Burlington, VT",Burlington,VT,2014,12
BTV,"Burlington, VT",Burlington,VT,2015,6
BTV,"Burlington, VT",Burlington,VT,2016,5
BTV,"Burlington, VT",Burlington,VT,2017,2
BUF,Buffalo Niagara International,Buffalo,NY,2013,41
BUF,Buffalo Niagara International,Buffalo,NY,2014,27
BUF,Buffalo Niagara International,Buffalo,NY,2015,22
BUF,Buffalo Niagara International,Buffalo,NY,2016,15
BUF,Buffalo Niagara International,Buffalo,NY,2017,26
BUR,Bob Hope,Burbank,CA,2013,21
BUR,Bob Hope,Burbank,CA,2014,19
BUR,Bob Hope,Burbank,CA,2015,15
BUR,Bob Hope,Burbank,CA,2016,25
BUR,Bob Hope,Burbank,CA,2017,22
BWI,Baltimore/Washington Intl Thurgood Marshall,Baltimore,MD,2013,147
BWI,Baltimore/Washington Intl Thurgood Marshall,Baltimore,MD,2014,129
BWI,Baltimore/Washington Intl Thurgood Marshall,Baltimore,MD,2015,105
BWI,Baltimore/Washington Intl Thurgood Marshall,Baltimore,MD,2016,122
BWI,Baltimore/Washington Intl Thurgood Marshall,Baltimore,MD,2017,128
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,2013,7
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,2014,4
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,2015,1
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,2016,3
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,2017,3
CAE,Columbia Metropolitan,Columbia,SC,2013,6
CAE,Columbia Metropolitan,Columbia,SC,2014,4
CAE,Columbia Metropolitan,Columbia,SC,2015,4
CAE,Columbia Metropolitan,Columbia,SC,2016,6
CAE,Columbia Metropolitan,Columbia,SC,2017,3
CAK,Akron-Canton Regional,Akron,OH,2013,8
CAK,Akron-Canton Regional,Akron,OH,2014,6
CAK,Akron-Canton Regional,Akron,OH,2015,8
CAK,Akron-Canton Regional,Akron,OH,2016,7
CAK,Akron-Canton Regional,Akron,OH,2017,7
CDC,Cedar City Municipal,Cedar City,UT,2013,1
CDC,Cedar City Municipal,Cedar City,UT,2014,2
CDV,Merle K (Mudhole) Smith,Cordova,AK,2016,1
CEC,Crescent City,Crescent City,CA,2013,1
CEZ,Cortez Municipal,Cortez,CO,2013,1
CHA,Chattanooga Metropolitan,Chattanooga,TN,2013,5
CHA,Chattanooga Metropolitan,Chattanooga,TN,2014,2
