LocID,Year,Boarding
CSG,2014,50883
DHN,2014,50309
CRQ,2014,50056
LCK,2014,49486
SPS,2014,46906
SMX,2014,46454
PSM,2014,45708
RVR,2014,42873
PUW,2014,42294
SAW,2014,41681
DLG,2014,39414
HOM,2014,38862
GTR,2014,38664
BPT,2014,38213
TNI,2014,37519
TXK,2014,37229
ALW,2014,36373
DBQ,2014,35983
VLD,2014,35636
ROW,2014,35356
AKN,2014,35012
HVN,2014,33625
BQK,2014,32579
COD,2014,32317
GUC,2014,31743
SUX,2014,31675
ABY,2014,31260
STC,2014,30939
CPX,2014,30788
JQF,2014,30286
BTM,2014,29738
DUT,2014,29370
TWF,2014,28678
PLN,2014,28168
GCC,2014,27173
VGT,2014,26955
ABR,2014,26497
GCK,2014,26428
JLN,2014,26380
MMH,2014,25916
SIG,2014,25344
PIH,2014,24956
IPT,2014,24686
ALO,2014,23994
CMX,2014,23843
VCV,2014,23603
BJI,2014,23439
RDD,2014,23170
MRI,2014,22210
OWB,2014,22202
CKB,2014,22037
GGG,2014,21867
FOE,2014,21730
PGA,2014,21616
CIU,2014,21385
PAH,2014,20858
RHI,2014,20819
EAU,2014,20757
BFI,2014,20418
RKS,2014,20243
SGJ,2014,19701
ART,2014,19307
PSG,2014,19065
OGD,2014,18843
HOB,2014,18239
EKO,2014,18200
ESC,2014,17946
BRD,2014,17160
CIC,2014,17141
BLV,2014,16328
INL,2014,16328
MKG,2014,15847
HGR,2014,15189
OTH,2014,15080
VDZ,2014,14658
CDV,2014,14479
CDC,2014,14362
RKD,2014,14300
CEC,2014,13701
LHD,2014,13545
