Airport_Code,Airport_Name,City,State,Year,Claim_Type,Total_Close_Amount
BLI,Bellingham International,Bellingham,WA,2013,Property Damage,$384.84
BLI,Bellingham International,Bellingham,WA,2014,Passenger Property Loss,$0.00
BLI,Bellingham International,Bellingham,WA,2014,Property Damage,$13.00
BLI,Bellingham International,Bellingham,WA,2015,Property Damage,$119.00
BLI,Bellingham International,Bellingham,WA,2016,Passenger Property Loss,
BLI,Bellingham International,Bellingham,WA,2016,Property Damage,
BLI,Bellingham International,Bellingham,WA,2017,Passenger Property Loss,
BLI,Bellingham International,Bellingham,WA,2017,Property Damage,
BLV,Midamerica Airport,Belleville,IL,2013,Property Damage,
BLV,Midamerica Airport,Belleville,IL,2014,Passenger Property Loss,"$2,001.98"
BLV,Midamerica Airport,Belleville,IL,2015,Passenger Property Loss,$0.00
BLV,Midamerica Airport,Belleville,IL,2017,Passenger Property Loss,$14.00
BLV,Midamerica Airport,Belleville,IL,2017,Property Damage,$25.00
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2013,Passenger Property Loss,$250.00
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2013,Property Damage,
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2014,Passenger Property Loss,$24.44
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2014,Property Damage,$0.00
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2015,Passenger Property Loss,
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2015,Property Damage,$30.00
BMI,Bloomington-Normal Airport,Bloomington/Normal,IL,2017,Passenger Property Loss,
BNA,Nashville International,Nashville,TN,2013,Passenger Property Loss,$629.91
BNA,Nashville International,Nashville,TN,2013,Personal Injury,
BNA,Nashville International,Nashville,TN,2013,Property Damage,$999.05
BNA,Nashville International,Nashville,TN,2014,Passenger Property Loss,$534.36
BNA,Nashville International,Nashville,TN,2014,Property Damage,"$4,540.87"
BNA,Nashville International,Nashville,TN,2015,Passenger Property Loss,"$2,260.43"
BNA,Nashville International,Nashville,TN,2015,Personal Injury,
BNA,Nashville International,Nashville,TN,2015,Property Damage,"$5,251.46"
BNA,Nashville International,Nashville,TN,2015,Unknown,$200.00
BNA,Nashville International,Nashville,TN,2016,Passenger Property Loss,"$1,172.26"
BNA,Nashville International,Nashville,TN,2016,Property Damage,"$2,805.97"
